"X25984","X25985","X25986","X25987","X25988","X25989","X25990","X25991","X25992","X25993","X25994","X25995","X25996","X25997","X25998","X25999","X26000","X26001","X26002","X26003","X26004","X26005","X26006","X26007","X26008","X26009","X26010","X26011","X26012","X26013","X26014","X26015","X26016","X26017","X26018","X26019","X26020","X26021","X26022","X26023","X26024","X26025","X26026","X26027","X26028","X26029","X26030","X26031","X26032","X26033","X26034","X26035","X26036","X26037","X26038","X26039","X26040","X26041","X26042","X26043","X26044","X26045","X26046","X26047","X26048","X26049","X26050","X26051","X26052","X26053","X26054","X26055","X26056","X26057","X26058","X26059","X26060","X26061","X26062","X26063","X26064","X26065","X26066","X26067","X26068","X26069","X26070","X26071","X26072","X26073","X26074","X26075","X26076","X26077","X26078","X26079","X26080","X26081","X26082","X26083","X26084","X26085","X26086","X26087","X26088","X26089","X26090","X26091","X26092","X26093","X26094","X26095","X26096","X26097","X26098","X26099","X26100","X26101","X26102","X26103","X26104","X26105","X26106","X26107","X26108","X26109","X26110","X26111","X26112","X26113","X26114","X26115"
3,0,0,6,0,0,6,6,6,6,6,6,6,6,6,4,3,6,4,6,6,6,0,4.8,0,6,6,6,6,6,6,6,2,0,2,6,6,6,0,6,6,6,6,6,6,0,5.25,5.25,6,6,6,6,6,6,6,3,6,6,0,5,0,3,6,6,6,6,6,4,6,6,6,6,6,6,6,6,3,0,6,0,6,6,6,0,6,4,6,6,6,3,6,0,6,6,6,0,6,6,6,6,6,3,6,0,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,0,0,6,4,6,6,6,4,6,6
3,0,1.5,6,6,0,6,6,6,6,6,6,6,0,6,6,3,6,4,2,2,4,6,4.2,6,6,6,6,6,6,6,6,2,6,5.5,0,3,0,6,6,6,4.5,6,0,3,6,4.5,6,6,6,6,6,6,6,4,0,6,6,6,5,6,4.5,0,6,6,6,6,4,6,6,6,6,6,6,6,2.5,6,0,6,6,6,6,4,0,6,4,6,6,6,3,2,6,6,6,6,0,0,6,3,0,4,3,6,0,6,5,6,0,6,6,4,6,6,6,6,6,3,6,5.5,6,0,4,0,0,0,4,6,3,0,6,3,4.5
3,0,0,6,0,0,6,6,6,6,6,6,6,6,6,3,3,4,2,4,4,4,6,3,0,6,0,6,6,4.5,3,6,0,0,2,0,6,0,6,6,6,4.5,6,0,6,6,3,3.75,0,6,0,6,6,4.5,4,1.5,6,4.5,6,4,0,2,6,6,6,6,0,2,6,6,6,0,6,6,0,4,6,6,0,6,6,0,6,0,1,4,6,6,6,3,4,0,6,4.5,3,0,0,6,6,6,6,3,0,0,4,5,4.66667,0,0,6,4.5,0,6,6,6,6,3,6,6,3,0,4,0,0,0,4,6,6,0,4,3,6
3,0,3,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,4,4,4,4,6,4.8,0,6,6,6,6,5.5,6,6,2,6,1,0,3,0,0,0,6,4.5,0,0,6,6,3.75,4.5,6,6,6,6,6,6,6,3,6,4.5,6,4,6,2,0,6,0,6,6,4,6,6,6,6,6,6,0,4.5,6,0,0,6,6,6,4,6,3,6,6,3,6,6,6,6,6,4.5,6,6,6,6,6,0,4,3,6,0,4,6,6,6,0,6,4.5,0,6,3,0,6,3,6,6,6,6,4,6,0,6,4,0,6,0,4,0,1.5
3,0,3,6,0,0,0,6,6,0,0,6,6,6,6,5,3,4,4,6,4,6,6,6,6,6,6,6,6,6,6,6,2,6,5.5,0,3,6,6,0,6,6,0,0,6,0,6,5.25,6,6,6,6,6,6,4,3,6,6,0,6,6,1,6,6,6,6,0,6,6,6,6,6,6,6,6,4,6,0,0,6,6,6,4,0,6,6,6,6,6,6,6,6,6,4.5,3,0,6,6,6,0,4,0,6,0,6,6,4,6,6,3,3,6,6,6,6,6,3,6,6,6,0,4,6,0,6,4,6,6,6,2,6,5
3,0,0,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,2,4,4,6,6,6,0,6,0,6,4,5.5,6,6,2,0,3,6,6,6,6,6,6,4.5,6,6,6,0,6,5.25,6,6,6,6,6,4.5,4,5,6,6,6,6,6,2,6,6,6,6,6,4,6,6,6,6,6,6,6,3.5,6,6,6,6,6,6,6,0,1,6,0,3,0,3,4,6,6,4.5,6,6,6,6,6,0,6,6,6,0,6,5,4.66667,6,0,6,4.5,6,6,6,0,6,6,6,0,6,6,4,0,0,0,4,6,6,6,6,6,5.5
3,0,4.5,6,0,0,6,6,6,6,6,6,6,0,6,6,6,6,4,4,4,4,6,4.8,6,6,6,6,6,5.5,6,6,4,6,3,6,6,6,6,6,6,6,6,6,3,6,5.25,4.5,6,6,6,6,6,5,6,1,6,6,0,3,6,0,0,6,0,6,0,6,4,6,6,6,6,6,0,3,6,0,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,4.5,6,6,6,6,6,0,6,3,6,0,4,6,4.66667,6,0,6,5.5,6,6,6,6,4.5,6,6,6,3,0,4,6,6,0,4,6,6,0,4,6,3
3,0,1.5,6,0,0,6,6,0,6,6,6,6,6,6,4,6,6,4,2,4,6,0,4.8,0,6,6,6,6,5.5,6,6,2,6,4.5,0,6,6,0,0,6,6,0,0,3,0,6,4.5,6,6,6,6,6,6,6,3,0,6,6,6,6,6,0,6,6,6,0,4,4,6,6,0,6,6,6,3.5,3,0,6,6,6,6,6,0,3,4,0,3,0,3,4,6,6,6,6,0,6,6,6,6,6,3,0,0,4,5,4,6,0,6,4,6,6,6,6,6,6,6,0,3,6,4,0,6,6,4,6,6,6,4,6,5.5
3,0,2.5,6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,0,6,0,6,6,6,6,5,6,6,2,1.5,5,6,6,6,0,0,6,6,0,6,3,0,4.5,5.25,6,6,6,6,6,6,4,3,6,6,6,6,6,4.5,0,6,6,6,0,4,6,6,6,6,6,6,6,3,6,0,6,6,6,6,4,0,6,6,6,3,6,3,2,0,0,4.5,6,6,6,6,6,6,6,0,6,6,6,1,4.66667,6,0,6,3,6,0,3,6,6,6,6,6,3,0,4,6,3,0,6,6,6,6,4,3,0
0,0,3,6,0,0,0,6,6,6,6,6,6,6,6,4,6,6,4,4,4,4,6,4.8,0,6,6,6,4,4.5,6,6,2,3,5,0,3,6,0,0,6,4.5,0,0,6,6,5.25,5.25,0,6,6,6,6,4,4,3,6,4.5,6,6,0,4.5,0,4,6,6,6,4,4,6,6,6,6,6,0,3.5,6,6,0,6,6,0,6,0,3,6,6,3,0,3,4,6,6,4.5,3,0,6,6,6,0,4,6,6,0,6,5,4.66667,0,0,6,4.5,0,6,6,6,6,3,6,6,6,0,4,6,6,0,4,6,3,0,4,6,6
3,0,6,6,0,0,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,6,6,6,0,6,6,6,6,6,6,6,2,0,5.5,6,6,6,6,6,6,4.5,6,6,6,6,3,6,6,6,6,6,6,4.5,4,6,6,6,6,5,6,1,0,6,6,6,0,4,6,6,6,6,6,6,6,3.5,3,0,6,6,6,6,6,0,6,4,6,3,0,3,4,0,6,4.5,6,0,6,6,6,0,4,3,6,0,6,6,4.66667,6,6,6,5.5,6,6,3,6,6,6,6,6,3,0,4,6,6,6,4,0,6,6,6,6,6
3,0,4.5,6,6,0,0,6,6,6,6,6,6,6,6,6,3,5,6,4,4,6,0,6,6,6,6,6,6,5.5,6,6,2,6,4,6,6,6,0,0,6,6,6,0,3,6,6,4.5,0,6,6,6,6,6,4,3,6,6,0,5,0,3,6,6,6,6,6,2,4,6,6,6,6,3,6,5,3,6,6,0,6,6,6,0,1,2,6,6,0,0,4,0,6,6,6,6,6,6,6,0,4,3,6,0,4,6,6,6,6,6,2.5,0,6,3,0,6,3,6,6,3,6,4,0,3,0,4,6,6,6,4,3,0
0,0,0,6,0,0,6,6,6,6,6,6,6,0,6,6,6,6,6,6,4,6,6,4.8,6,6,6,6,6,5.5,6,6,2,4.5,1,0,6,6,0,6,6,4.5,6,0,3,0,4.5,4.5,6,6,0,6,6,6,4,3,6,4.5,0,6,6,2,0,4,6,6,6,6,6,0,6,6,6,6,0,5,3,6,6,6,6,6,4,6,4.5,4,6,6,0,3,4,6,6,4.5,6,0,6,6,6,6,6,3,6,6,6,5,4.66667,6,6,6,2.5,6,6,6,0,4.5,3,6,6,6,6,6,6,0,6,4,6,6,6,4,6,1.5
3,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,4,4,4,6,6,6,6,6,6,6,6,5,6,6,2,4.5,2,0,6,6,6,6,6,3.5,6,0,3,6,3.75,5.25,6,6,6,6,6,6,6,3.5,6,4.5,6,6,0,3,6,6,6,6,6,4,6,6,6,6,6,3,6,5,3,6,6,6,6,0,6,0,6,6,0,6,6,6,4,6,6,4.5,6,0,6,6,6,0,6,3,6,0,6,5,4,6,0,6,4,0,6,6,6,4.5,6,6,6,3,6,4,0,0,6,6,6,6,0,4,6,6
3,0,1.5,6,0,0,6,6,6,6,6,6,6,6,6,5,3,6,4,6,4,4,6,6,0,6,6,6,6,6,6,6,2,0,4,0,3,0,6,0,6,6,6,6,3,6,6,5.25,6,6,6,6,6,4.5,6,3,6,6,6,5,0,2,0,6,6,6,6,6,6,6,6,6,6,6,6,4,3,0,6,6,6,0,6,0,6,6,6,3,6,3,6,6,6,6,6,0,6,6,6,0,6,3,6,0,4,5,4.66667,6,6,6,3,0,6,6,6,6,6,6,0,6,0,4,0,0,6,6,6,6,6,4,3,4.5
3,6,6,6,0,0,6,6,6,6,0,6,0,6,6,6,6,6,2,4,4,6,6,6,6,6,0,6,6,6,6,6,4,6,5,6,6,6,6,6,6,4.5,6,6,6,6,5.25,5.25,6,6,6,6,6,6,6,3,6,6,6,5,6,4.5,0,6,6,6,0,4,6,6,6,6,6,6,6,5,6,6,6,6,6,0,6,6,6,6,6,6,6,3,4,6,6,6,6,6,0,6,6,0,6,3,0,0,6,6,4.66667,6,0,6,4.5,6,0,6,0,6,6,6,1,6,6,6,0,4.5,6,4,0,6,6,4,3,6
3,0,2.5,6,0,0,6,6,6,6,6,6,6,6,6,6,6,4.5,6,4,6,6,0,6,6,6,6,6,6,6,6,6,4,1.5,4,0,6,6,0,0,6,4.5,6,0,6,6,4.5,4.5,6,6,6,6,6,6,6,4,6,4.5,6,6,6,5,0,6,0,6,0,6,6,0,6,6,6,6,6,6,3,0,6,6,6,6,6,0,4.5,6,6,6,6,3,4,6,6,6,3,6,6,6,6,6,4,3,6,0,6,5,6,6,6,6,5.5,6,6,6,6,4.5,3,6,5.5,6,6,4,6,5.5,0,4,6,6,0,6,3,5
3,0,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,6,2,4,6,6,6,6,6,6,6,4.5,6,6,4,0,3,0,3,6,6,6,6,5,6,6,3,6,5.25,5.25,6,6,6,6,6,6,6,3,6,6,6,6,6,3,6,6,6,6,0,2,6,6,6,6,6,6,6,5.5,6,0,6,6,6,0,6,6,6,6,6,6,6,6,4,6,6,4.5,6,6,6,6,6,0,6,6,6,0,4,6,6,6,6,6,5,6,6,6,0,3,6,6,6,6,6,6,6,0,0,4,6,6,6,6,6,4.5
3,0,6,6,6,0,6,6,6,6,6,6,6,0,6,6,6,6,6,4,4,6,6,6,0,6,6,6,6,6,6,6,2,1.5,5.5,0,6,6,6,6,6,6,0,0,3,6,3.75,5.25,6,6,6,6,6,5,4,3,6,4.5,0,6,6,6,6,4,6,4,6,4,6,6,6,6,6,6,6,5.5,3,6,6,6,6,6,6,0,4.5,6,6,6,6,3,4,6,6,6,6,6,6,6,6,0,6,3,6,0,6,6,4.66667,6,0,6,5,6,6,3,6,6,6,6,6,6,0,6,6,0,6,2,0,6,0,4,3,6
1.5,0,3,6,0,0,6,6,0,6,6,6,6,6,6,3,3,5.5,4,6,2,6,0,6,6,6,6,6,6,5.5,6,6,2,0,3.5,0,6,0,0,6,6,6,0,6,3,6,5.25,5.25,6,6,6,6,6,6,4,3.5,6,6,6,4,6,2,0,4,6,4,6,4,4,6,6,6,6,6,0,5.5,0,0,6,6,6,6,6,6,6,4,6,3,6,3,4,0,6,6,6,6,0,6,6,6,6,0,6,0,4,4,6,6,0,6,4,0,6,6,6,3,3,6,6,0,0,4,6,3,0,4,6,6,0,4,6,6
3,0,4.5,6,0,0,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,2,0,1.5,0,3,0,6,0,6,6,6,6,6,0,3.75,6,6,6,6,6,6,4.5,6,3,6,6,6,6,6,2.5,6,6,6,6,6,6,6,6,6,6,6,6,0,5,3,0,6,6,6,0,4,0,4,6,6,3,6,3,6,6,6,6,6,6,0,6,6,0,6,3,6,0,4,5,4,6,0,3,5.5,6,6,6,6,6,3,6,6,6,6,4,6,0,6,4,0,6,6,6,6,6
3,0,3,6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,4,4,2,6,0,6,0,6,6,6,4,6,6,6,2,6,5,0,3,6,6,6,6,6,6,6,6,6,6,4.5,6,6,6,6,6,6,6,3,6,4.5,6,6,6,2,0,6,6,6,6,2,6,6,6,6,6,6,0,3.5,6,0,6,6,6,0,6,0,6,2,6,3,6,0,6,6,6,4.5,6,0,6,6,6,0,6,3,0,6,6,6,6,6,0,3,3,0,0,3,6,6,3,6,6,6,6,2,6,6,6,6,0,6,6,6,3,0
3,0,1.5,6,0,0,6,6,6,6,6,6,6,0,0,4,3,4,4,4,6,4,0,2.4,0,6,0,6,4,6,6,6,2,0,2.5,0,0,6,0,6,6,3,0,0,3,6,2.25,1.5,6,6,0,6,6,4.5,4,3,6,4.5,6,5,6,2,6,4,6,6,0,4,4,6,0,6,6,6,0,4,3,0,6,0,6,6,4,0,1,4,6,0,6,3,2,0,6,4.5,3,0,6,6,3,0,6,0,6,0,4,5,3.33333,6,6,6,3.5,0,0,3,6,3,3,6,0,6,6,4,0,5,0,2,6,6,0,4,3,3
3,0,1,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,2,4,4,6,6,3.6,6,6,6,6,6,5.5,6,6,2,0,0,0,6,6,0,0,6,4.5,0,0,6,0,3.75,4.5,6,6,6,6,6,5,6,5,6,4.5,0,5,6,2.5,0,2,6,2,0,6,6,6,6,6,6,3,6,4,3,0,6,6,6,0,6,6,6,2,6,6,6,0,4,0,6,4.5,6,0,0,6,6,0,6,6,6,6,6,6,6,6,0,3,3.5,6,6,3,6,6,6,6,5,6,6,4,0,3,6,4,0,6,6,4,3,6
3,0,5,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,5,6,6,2,1.5,3,0,6,0,6,0,6,6,6,0,3,0,6,5.25,6,6,6,6,6,6,6,3,6,6,0,6,6,3,6,6,6,6,0,4,6,6,6,6,6,6,6,4,6,0,6,6,6,6,6,0,4,2,6,6,6,6,4,6,6,4.5,3,0,6,6,6,0,6,6,6,0,6,6,4.66667,6,6,6,4.5,6,6,6,6,6,3,6,6,6,6,6,6,0,6,2,6,6,6,6,6,6
3,0,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,6,6,6,6,0,6,0,6,6,6,6,6,2,0,3,0,6,6,0,6,6,4.5,0,6,3,6,5.25,5.25,6,6,6,6,6,6,6,6,6,6,6,5,6,1,0,4,6,6,0,4,6,6,6,6,6,6,6,3,6,0,6,6,6,6,6,0,1,6,6,3,6,3,4,6,6,4.5,6,6,6,6,6,0,6,3,6,0,6,5,6,6,6,6,5.5,0,6,6,6,4.5,6,6,6,6,0,4,0,6,0,4,6,6,6,2,3,5
3,0,1,6,6,0,6,6,6,6,6,6,6,6,6,6,3,4.5,4,4,2,6,6,4.8,6,6,6,6,6,6,6,4.5,2,4,1,0,6,6,0,0,6,3,6,0,3,6,4.5,5.25,6,6,6,6,6,3,4,3,6,4.5,0,6,6,3,6,6,6,6,0,4,6,6,6,6,6,6,6,2.5,3,0,6,6,6,0,6,0,6,6,6,6,6,6,4,6,6,6,3,0,6,6,6,0,4,3,6,0,6,6,6,6,0,6,6,0,0,3,6,3,6,6,6,6,6,4,6,0,6,4,6,6,6,6,6,6
3,0,0,0,0,0,6,6,6,6,0,6,6,6,6,6,3,6,2,4,2,6,6,6,6,6,6,6,6,4,6,6,4,0,3,6,3,6,0,6,6,6,0,0,6,6,4.5,4.5,6,6,6,6,6,4,4,3,6,4.5,0,6,0,2,0,4,6,6,6,4,6,6,6,6,6,6,0,3.5,0,0,6,6,6,0,6,0,0.5,6,6,3,0,0,4,6,6,4.5,3,0,6,6,6,0,6,3,0,0,4,6,4,6,6,6,3,0,6,3,6,4.5,3,6,0,6,0,2,0,3,0,6,6,6,0,4,3,4.5
1.5,0,2.5,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,4,4,4,6,0,4.2,6,6,6,6,6,6,6,6,2,6,3,0,6,0,6,0,6,6,6,6,3,6,3,5.25,6,6,6,6,6,6,6,3,6,6,6,6,6,1,0,6,6,6,6,4,6,6,6,6,6,6,6,4,3,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,6,0,6,6,6,6,6,3,4,0,6,6,6,6,6,6,6,6,6,6,6,0,6,4,0,6,0,6,6,6
1.5,0,4.5,6,0,0,6,6,6,6,6,6,6,0,6,4,6,6,4,4,6,4,6,3.6,0,6,6,6,4,4.5,6,4.5,4,1.5,4,0,3,6,6,6,6,3.5,0,6,3,0,4.5,5.25,6,6,6,6,6,6,4,6,6,4.5,0,6,0,3,0,4,6,6,6,4,6,6,6,6,6,6,0,6,3,0,0,6,6,6,6,6,6,4,6,3,6,6,4,0,6,6,3,6,6,6,6,6,4,0,6,0,4,5,6,6,6,3,5.5,6,6,6,6,6,3,6,6,6,0,4,6,0,6,4,0,6,6,4,0,6
3,0,0,0,0,0,6,6,6,6,6,6,0,0,6,4,6,3,4,6,4,6,0,6,0,6,6,6,4,4.5,6,6,2,6,3.5,0,3,6,0,6,6,6,6,0,6,6,4.5,5.25,6,6,0,6,6,6,4,3,6,6,6,6,6,3,0,6,6,6,6,6,6,6,6,6,6,6,0,3.5,3,0,6,6,6,0,6,6,3,6,6,6,6,6,4,6,6,6,6,0,0,6,6,0,6,6,0,0,4,6,6,6,6,6,4.5,6,6,6,6,6,3,6,6,6,6,6,6,0,6,4,6,6,0,4,3,6
1.5,0,3,6,0,0,6,6,6,6,6,6,6,6,6,4,6,5.5,6,2,2,6,0,3.6,0,6,6,6,6,6,6,6,4,6,3.5,0,6,6,0,0,6,4.5,0,6,3,0,4.5,5.25,6,6,6,6,6,4.5,6,3,6,4.5,0,6,6,5,0,6,6,6,0,4,6,6,6,6,6,6,6,4,3,0,6,6,6,6,4,0,6,6,6,0,6,3,4,0,6,4.5,6,6,6,6,6,6,4,3,6,0,6,6,6,6,6,6,5.5,0,6,6,6,3,3,6,6,6,0,4,6,3,0,4,6,6,0,2,0,4
3,0,2.5,6,0,0,0,6,6,6,6,6,6,6,6,3,6,4.5,4,4,4,6,6,4.8,6,6,6,6,6,6,6,4.5,4,3,3.5,6,6,0,6,6,6,6,6,0,6,6,5.25,3,0,6,6,6,6,6,6,5.5,0,6,0,6,0,2,0,6,6,6,0,6,4,6,6,6,6,6,0,6,3,0,6,6,6,0,2,6,1,6,6,6,6,6,4,0,6,6,6,6,6,6,6,6,6,6,6,0,6,5,4.66667,6,0,6,6,0,6,6,6,6,6,6,6,6,0,4,0,0,6,2,6,3,6,4,3,5
3,0,4.5,6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,0,6,6,6,6,6,6,6,4,1.5,3.5,6,6,0,0,0,6,4.5,6,6,6,6,4.5,5.25,6,6,6,6,6,6,6,3,6,6,6,6,6,3,0,4,6,6,6,6,4,6,6,6,6,6,6,5,3,0,6,6,6,6,6,0,0.5,6,6,6,6,6,4,0,6,4.5,3,6,6,6,6,6,4,3,6,0,4,6,4.66667,6,0,6,3.5,0,6,6,6,6,3,6,6,6,0,6,0,6,6,2,6,6,0,4,3,6
3,0,0,6,0,0,6,6,6,6,6,6,6,6,6,6,3,4.5,4,4,4,4,6,6,6,6,6,6,6,3,6,6,4,1.5,1.5,0,3,6,6,0,6,4.5,6,0,6,6,5.25,5.25,0,6,6,6,6,5,6,1,6,4.5,6,5,6,1,0,6,6,6,0,4,4,6,6,6,6,6,0,5,3,0,6,0,6,0,6,6,1,2,6,3,0,3,4,6,6,4.5,6,6,6,6,6,6,6,0,0,0,4,6,6,6,0,6,2.5,6,6,6,6,1.5,6,6,6,6,6,4,0,6,6,4,0,6,6,4,3,6
3,0,3,6,6,6,6,6,6,6,6,6,0,0,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5.5,6,6,4,1.5,5.5,6,6,6,0,6,6,5,0,6,6,6,5.25,5.25,6,6,6,6,6,5,6,6,6,3,6,5,6,1,0,6,6,6,6,4,6,6,6,6,6,6,6,4.5,6,6,6,6,6,6,6,6,6,4,6,6,6,3,6,6,6,6,6,6,6,6,6,0,4,0,6,0,4,5,4.66667,6,0,6,3.5,0,6,6,6,4.5,3,6,0,6,0,4,0,0,0,4,6,3,6,6,3,3
