"X30056","X30057","X30058","X30059","X30060","X30061","X30062","X30063","X30064","X30065","X30066","X30067","X30068","X30069","X30070","X30071","X30072","X30073","X30074","X30075","X30076","X30077","X30078","X30079","X30080","X30081","X30082","X30083","X30084","X30085","X30086","X30087","X30088","X30089","X30090","X30091","X30092","X30093","X30094","X30095","X30096","X30097","X30098","X30099","X30100","X30101","X30102","X30103","X30104","X30105","X30106","X30107","X30108","X30109","X30110","X30111","X30112","X30113","X30114","X30115","X30116","X30117","X30118","X30119","X30120","X30121","X30122","X30123","X30124","X30125","X30126","X30127","X30128","X30129","X30130","X30131","X30132","X30133","X30134","X30135","X30136","X30137","X30138","X30139","X30140","X30141","X30142","X30143","X30144","X30145","X30146","X30147","X30148","X30149","X30150","X30151","X30152","X30153","X30154","X30155","X30156","X30157","X30158","X30159","X30160","X30161","X30162","X30163","X30164","X30165","X30166","X30167","X30168","X30169","X30170","X30171","X30172","X30173"
3,6,0,6,0,0,6,0,2.18182,6,0,0,6,3,6,3,6,3,6,6,0,6,3,0,3,4,6,0,6,0,6,6,6,0,0,0,0,6,6,6,6,3,0,6,6,0,0,0,3,0,6,6,6,3,6,4.5,0,3,4,0,3,6,3,6,0,6,0,6,6,6,6,0,6,0,6,4,6,6,0,0,6,6,6,6,6,6,6,6,0,0,0,6,6,0,0,6,0,6,6,6,6,6,6,6,2,6,3,0,0,6,0,3,6,6,6,6,0,0
6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,3,4,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,6,4.5,3,6,6,6,6,6,4.5,6,4.5,4,0,6,6,4.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,0,3,6,6,0,6,6,6,4,6,3,6,4,6,6,6,6,6,0,6,0,6
3,6,0,6,6,6,6,6,4.90909,3,6,0,6,6,6,6,6,3,0,6,0,6,6,6,3,4,6,6,3,6,6,6,6,6,0,3,6,6,6,0,0,3,6,6,6,0,6,0,6,6,6,6,6,3,6,6,6,4.5,2,0,6,6,4.5,6,6,6,6,6,3,0,0,6,6,3,6,6,6,6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,0,0,3,6,6,6,6,6,6,2,6,0,0,4,6,0,6,6,6,0,6,0,0
6,6,6,6,6,0,0,0,3.81818,3,6,6,6,6,6,6,6,6,0,6,0,6,6,6,0,4,6,6,6,6,6,6,6,6,6,3,6,6,0,0,6,3,6,6,6,0,6,6,4.5,6,6,6,0,6,6,6,6,4.5,4,0,6,6,3,0,0,6,6,0,3,6,0,0,0,0,6,4,6,0,6,0,6,6,6,6,0,6,6,6,0,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,2,6,3,6,0,0,0,6,6,6,0,0,0,0
3,6,0,6,0,6,6,0,4.90909,3,1.5,6,6,3,6,6,6,6,0,6,6,6,0,0,6,4,6,0,6,0,6,6,6,0,6,3,6,6,0,0,6,3,6,6,6,0,0,0,0,3,6,6,6,3,6,4.5,6,4.5,0,6,6,3,1.5,6,6,6,0,0,6,0,0,0,6,3,6,6,6,0,0,0,6,6,6,6,0,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0,0,6,6,4,6,0,6,0,6,0,0,6,6,0,0,0,0
6,6,0,3,0,6,6,6,3.81818,3,1.5,6,6,3,6,3,6,6,0,0,6,0,6,6,3,4,6,3,6,0,6,6,6,6,6,0,6,6,0,6,6,3,6,6,6,0,6,0,3,3,0,6,6,6,6,6,6,3,6,6,3,6,3,0,6,0,6,0,6,6,6,0,6,3,6,6,6,6,0,0,6,6,6,0,0,6,6,6,0,6,6,6,0,0,6,6,6,6,6,0,0,6,6,6,2,6,0,0,2,6,6,6,6,6,0,6,0,0
3,6,6,6,6,6,6,6,5.45455,3,4.5,6,6,6,6,3,6,3,6,6,6,6,6,0,3,2,6,3,6,0,6,0,6,0,6,6,0,6,0,6,6,6,6,6,6,0,6,0,6,3,0,0,6,6,6,6,6,6,2,6,6,6,4.5,6,6,6,0,6,3,6,6,6,0,0,0,6,6,6,6,0,6,6,6,6,0,6,6,6,6,0,0,6,0,0,0,6,0,3,6,6,0,6,6,6,4,6,6,6,4,6,6,6,6,6,0,0,0,6
6,6,6,0,6,6,6,0,4.90909,6,1.5,6,6,6,6,3,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,0,6,0,6,3,6,6,0,6,0,6,0,6,6,0,6,6,6,3,0,6,6,3,0,6,6,3,4,6,3,6,1.5,6,6,6,6,6,6,0,6,6,0,3,0,6,6,6,6,0,6,6,6,6,6,6,6,6,6,0,6,6,0,6,6,6,6,3,6,6,0,6,6,6,2,6,3,6,4,6,0,6,6,6,0,6,0,0
3,6,0,6,6,6,6,6,3.81818,3,3,6,6,6,6,3,0,3,0,6,6,0,6,6,3,4,6,3,6,6,6,6,0,0,0,3,6,6,0,6,0,3,6,0,6,0,6,0,1.5,3,6,6,6,3,0,6,0,1.5,4,0,3,6,3,6,0,6,6,6,6,0,6,6,6,3,6,4,6,0,6,6,6,6,4,0,6,6,0,6,0,0,6,0,0,6,6,6,0,3,6,6,6,6,3,6,4,6,3,6,2,6,0,6,6,6,0,6,0,0
0,6,0,6,6,6,6,6,5.45455,3,0,6,6,6,0,3,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,6,0,0,0,3,0,6,0,6,6,3,6,6,6,0,6,0,4.5,6,0,0,0,6,6,3,6,3,6,0,6,3,3,6,0,6,0,6,3,6,0,0,0,3,0,6,0,6,6,0,6,0,4,6,0,6,6,0,6,0,0,6,0,0,0,0,6,3,0,0,0,6,6,6,4,6,3,6,0,0,0,3,0,6,0,0,0,0
6,6,0,3,6,6,6,0,2.72727,3,3,6,6,3,6,3,6,3,0,0,6,6,4.5,6,3,6,6,3,6,0,6,6,6,0,0,0,6,0,0,6,0,6,6,6,6,0,0,0,3,0,0,0,0,3,6,1.5,0,4.5,6,0,3,3,3,0,6,0,0,6,6,0,6,6,6,6,6,4,6,6,6,0,6,6,2,6,6,6,6,0,0,0,6,6,6,0,0,0,0,3,6,0,0,6,6,6,2,6,3,6,2,6,6,3,0,6,0,0,6,0
6,6,6,6,6,6,6,0,5.45455,6,6,6,6,6,6,3,6,3,6,6,6,6,4.5,6,3,4,6,6,6,6,6,6,6,0,6,0,6,6,0,0,6,6,6,6,6,6,6,0,6,0,6,6,6,3,6,6,6,3,4,0,6,6,3,6,0,6,6,6,6,6,0,6,0,6,6,6,6,6,6,6,6,6,4,0,0,6,6,0,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,4,6,3,0,4,6,0,6,6,6,0,6,0,6
3,6,6,6,6,6,6,6,4.36364,3,3,6,6,6,6,3,0,0,6,6,6,0,4.5,6,3,4,6,6,6,6,6,6,0,0,6,3,0,6,6,0,6,3,6,6,6,0,6,6,4.5,6,0,0,6,3,6,3,6,3,4,0,6,6,3,6,6,0,6,6,0,6,6,0,6,3,6,6,6,0,6,0,6,0,4,6,6,0,6,0,0,6,6,0,6,0,6,0,6,6,6,0,0,6,3,6,2,6,0,6,0,0,0,6,6,0,0,0,6,0
6,6,6,6,6,6,6,0,4.90909,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,6,6,6,0,3,6,6,0,6,0,3,6,6,6,0,6,6,3,3,0,0,6,3,6,4.5,6,3,4,6,6,6,0,6,6,0,6,6,6,6,6,0,6,6,6,4,6,6,0,0,6,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,0,3,0,0,6,0,6,6,2,6,0,6,2,6,6,6,6,6,0,6,0,0
3,6,6,3,0,6,6,0,2.72727,6,1.5,6,0,6,6,3,6,6,6,0,6,6,3,6,0,4,6,6,6,0,6,6,0,6,0,6,6,6,6,6,0,3,0,6,6,6,6,6,4.5,3,0,6,6,3,0,3,0,6,4,0,3,6,4.5,6,0,6,6,6,6,0,6,0,6,0,6,5,6,6,6,0,6,6,4,0,6,6,6,0,0,6,6,6,6,0,0,0,0,3,6,0,0,6,3,6,0,6,3,6,4,0,6,3,6,6,6,6,0,0
6,6,0,3,6,0,6,0,1.09091,3,4.5,6,6,6,6,3,0,0,6,0,6,0,6,0,0,4,6,3,6,6,6,6,0,0,0,0,6,0,6,0,6,6,6,6,0,0,6,6,3,3,0,6,6,3,0,4.5,6,1.5,0,0,3,6,1.5,6,6,0,0,0,0,0,0,0,6,3,0,6,0,6,0,0,3,6,4,0,0,0,6,0,0,6,6,0,0,0,6,6,0,6,0,0,0,0,6,6,2,0,3,0,2,0,0,3,6,0,0,0,6,0
6,6,0,3,6,6,0,0,3.81818,3,4.5,6,6,6,0,6,6,3,6,6,0,6,6,6,3,6,6,6,3,6,6,6,0,0,0,6,6,6,0,6,6,6,6,6,6,6,6,0,3,0,6,6,6,3,0,6,6,4.5,4,6,6,6,3,0,0,6,6,6,3,0,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,0,6,6,0,6,6,0,3,6,0,0,6,6,0,4,6,6,6,4,6,6,6,6,6,0,6,0,0
6,6,0,3,0,6,0,0,6,3,6,6,6,3,6,3,6,6,6,6,0,6,4.5,6,3,4,6,6,6,6,6,6,6,6,6,3,0,6,0,0,6,6,6,6,6,0,6,6,4.5,3,0,6,0,3,6,6,0,4.5,2,0,6,6,3,6,6,6,6,6,6,6,0,0,6,6,6,6,0,6,0,0,6,6,6,0,6,6,6,6,0,0,0,6,6,0,6,6,0,6,0,0,0,6,6,0,4,6,3,6,4,6,6,6,6,6,0,6,6,0
6,6,6,3,0,0,6,0,3.81818,6,3,6,6,6,6,3,0,3,0,6,6,6,6,6,0,4,6,3,6,6,6,6,0,6,6,3,6,0,6,0,0,6,0,6,6,0,6,0,3,3,0,6,6,6,6,1.5,6,4.5,2,0,6,6,4.5,6,6,6,0,6,6,0,0,0,0,0,6,5,6,0,6,0,3,6,4,6,0,6,0,0,6,0,6,0,6,0,0,0,6,6,6,0,6,0,6,6,2,6,3,0,2,0,6,6,6,0,0,6,6,0
6,6,0,6,6,0,6,6,4.36364,6,1.5,6,0,3,6,6,0,6,0,6,0,0,4.5,6,3,4,0,6,6,0,6,6,0,6,0,3,6,6,0,6,6,3,0,6,6,0,0,0,3,3,6,0,0,3,0,4.5,0,0,2,6,3,3,4.5,0,0,0,0,0,6,6,0,6,0,3,0,3,6,0,6,0,6,0,2,6,0,6,6,0,6,0,6,6,6,0,0,0,6,6,0,6,0,0,6,6,2,0,3,6,2,0,0,6,0,6,0,0,0,0
6,6,6,3,6,6,6,0,3.27273,3,3,0,0,3,6,6,0,3,6,6,6,6,3,0,3,4,6,0,6,0,6,6,0,0,6,3,6,6,0,0,0,3,6,6,6,0,0,0,6,3,6,0,6,0,6,1.5,0,4.5,4,6,6,3,1.5,6,0,0,6,6,6,6,6,0,6,3,6,4,6,6,6,0,6,6,6,6,0,0,6,6,0,6,6,6,0,0,6,6,0,0,6,0,0,0,0,6,2,6,3,6,6,6,0,3,6,6,0,6,6,6
6,6,0,6,6,6,6,0,4.36364,3,6,0,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,3,6,6,6,6,4,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,0,6,6,4,6,3,6,4,6,6,6,6,6,0,0,0,0
6,6,6,6,6,6,0,0,4.90909,6,3,6,6,6,6,3,6,6,0,6,0,6,4.5,0,3,4,6,6,6,6,6,6,0,0,0,6,0,6,0,0,6,3,6,6,6,6,6,0,6,6,0,6,6,3,0,1.5,6,3,4,0,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6,5,6,6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,0,3,6,6,6,6,6,6,4,6,3,6,4,0,6,6,6,6,0,6,0,0
6,6,6,6,6,6,6,6,2.72727,6,6,6,6,6,6,6,6,3,6,0,0,0,4.5,6,3,4,6,3,6,0,6,6,0,0,0,6,6,6,0,6,0,6,6,6,6,6,6,0,4.5,0,6,6,0,6,6,4.5,6,4.5,4,6,6,6,4.5,6,0,6,0,0,0,6,6,0,6,6,6,5,6,0,6,6,6,0,4,6,0,6,6,0,6,6,6,6,6,6,0,6,6,6,0,0,6,0,3,6,2,6,3,0,2,0,0,6,6,0,0,6,6,0
6,6,0,3,6,6,6,6,6,6,6,6,0,3,6,6,0,6,6,0,6,6,6,6,3,6,6,6,6,6,6,6,6,0,6,3,6,6,6,0,6,3,6,6,6,6,6,0,6,3,0,6,0,6,6,6,6,3,4,0,6,3,3,6,6,6,0,6,3,6,6,6,0,3,6,6,6,6,6,0,6,6,6,0,0,6,6,6,0,6,6,0,6,0,6,6,0,6,0,6,6,6,3,6,4,6,3,6,2,6,6,3,6,6,0,6,0,0
6,6,6,3,6,6,6,6,4.36364,3,4.5,6,6,6,6,6,6,6,6,0,6,6,6,6,3,4,6,6,6,0,6,6,6,0,0,3,6,6,6,6,6,3,6,6,6,6,6,6,6,3,6,6,6,6,6,6,0,4.5,4,0,6,6,3,6,6,6,0,6,6,6,6,6,0,6,6,5,6,6,0,0,6,6,6,6,6,6,6,0,0,6,6,6,0,0,6,6,6,6,6,6,6,6,6,6,2,6,0,6,2,0,6,3,6,6,0,6,0,6
6,6,0,6,6,6,6,0,3.81818,3,4.5,6,6,3,6,3,0,6,6,6,0,6,4.5,6,3,6,6,6,6,6,6,6,6,0,0,3,6,6,0,0,6,6,6,6,6,0,6,0,6,3,6,6,6,3,0,4.5,6,1.5,4,0,6,6,1.5,6,0,0,6,6,6,6,0,0,6,0,0,6,6,6,0,0,6,6,4,0,0,6,6,0,0,0,6,6,6,6,6,6,0,3,6,6,0,6,6,6,2,0,3,6,2,0,0,6,6,6,0,0,0,0
6,6,6,6,6,6,6,0,5.45455,3,6,6,6,3,6,3,6,3,0,6,0,6,6,6,3,4,6,6,6,6,6,6,6,0,6,3,6,6,0,0,6,6,6,6,6,6,0,0,4.5,3,6,6,6,3,6,4.5,6,4.5,4,0,6,6,3,6,0,0,6,6,3,6,0,0,6,3,6,5,6,0,6,0,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,0,6,0,6,6,6,6,6,4,0,0,0,4,0,0,3,6,6,0,6,0,6
3,6,0,6,0,6,6,0,3.27273,6,3,6,6,6,6,6,0,3,6,6,0,6,6,6,3,4,6,3,6,0,6,6,0,0,0,3,6,0,0,0,6,6,6,6,6,6,0,0,6,6,6,0,6,6,6,6,6,4.5,4,0,6,3,3,6,0,6,0,6,6,6,6,6,0,3,6,5,0,6,0,0,6,6,6,0,6,6,6,6,6,0,6,6,6,0,6,6,6,3,6,0,6,0,6,6,2,6,3,6,4,0,6,6,6,6,0,6,0,0
6,6,6,3,6,0,0,0,4.90909,6,4.5,6,6,3,6,3,0,6,0,6,6,6,6,6,3,2,6,3,6,6,6,6,0,0,6,3,0,6,0,0,6,3,0,6,6,0,6,0,3,3,6,0,6,6,0,4.5,0,3,2,0,6,6,3,6,6,6,6,6,6,0,0,6,0,6,6,6,6,0,0,0,6,0,6,0,0,6,6,0,0,0,6,0,0,0,0,0,6,6,0,0,0,6,6,6,4,6,3,0,0,0,0,3,6,6,0,6,6,6
3,6,0,0,0,6,6,0,2.72727,6,3,6,6,6,6,3,0,3,0,0,6,6,6,0,6,4,6,6,6,0,6,6,0,6,0,6,0,0,0,0,0,3,6,6,6,0,0,0,1.5,3,0,0,6,6,0,3,6,1.5,6,6,3,3,1.5,6,0,0,6,6,3,0,0,0,0,3,0,5,6,6,6,0,3,6,4,6,6,0,0,0,6,0,6,6,0,0,6,0,0,3,6,0,0,6,6,6,2,6,6,0,6,0,0,3,0,6,0,0,0,0
6,6,6,3,6,6,6,0,6,3,6,6,6,6,6,6,6,6,6,6,6,0,6,6,3,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,4.5,6,6,6,6,1.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,3,6,6,6,6,6,6,4,6,3,6,6,6,6,6,6,6,0,6,0,0
6,6,0,3,0,6,6,0,4.90909,3,6,6,6,6,0,6,6,3,0,6,0,6,1.5,6,0,6,6,3,6,0,6,6,0,0,6,3,6,0,0,0,6,3,0,6,6,6,0,0,3,3,0,6,0,6,6,6,6,3,6,0,3,3,1.5,0,6,6,0,6,6,6,0,6,0,0,6,6,6,0,0,0,6,0,4,0,6,6,6,6,6,0,0,6,6,0,6,6,6,6,0,0,0,6,6,0,4,6,3,0,2,0,0,6,6,6,0,0,0,0
6,6,6,6,6,6,6,0,6,3,6,6,6,6,6,6,0,6,6,6,6,6,6,6,3,6,6,6,6,0,6,6,6,0,0,3,6,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,4.5,6,3,0,6,6,6,4.5,6,6,6,6,6,6,6,6,6,6,3,0,6,6,6,6,0,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,4,6,0,6,6,6,6,6,6,6,0,6,0,6
6,6,6,3,6,6,6,0,2.72727,3,4.5,6,6,6,6,3,6,6,6,0,0,6,6,6,6,4,6,6,6,0,6,6,0,0,0,3,6,6,6,0,0,3,6,6,6,6,0,0,4.5,3,6,6,6,6,0,6,6,4.5,4,0,6,6,4.5,6,6,6,6,6,6,6,6,6,6,6,0,4,6,0,6,0,6,6,4,6,6,6,6,6,0,0,6,6,6,0,6,6,0,3,6,0,0,6,6,6,4,6,3,6,2,0,6,6,6,6,0,6,0,6
6,6,0,6,0,0,6,0,1.63636,6,0,6,0,6,6,3,0,0,0,0,0,0,3,6,0,4,6,3,6,0,6,6,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,6,1.5,6,6,6,0,6,6,3,6,4.5,4,0,6,6,3,6,0,0,6,0,3,0,0,0,0,3,6,3,0,6,0,0,3,6,4,0,0,6,0,0,6,6,0,0,0,0,6,0,6,3,6,0,6,0,6,0,2,0,0,0,0,0,0,3,6,0,0,0,6,0
6,6,6,6,6,6,6,6,3.81818,3,3,6,6,3,6,3,0,6,6,6,6,6,4.5,6,6,2,6,6,6,6,6,6,6,6,6,3,6,6,0,6,6,6,6,6,6,0,6,0,3,6,0,6,0,3,6,4.5,6,0,2,6,3,6,1.5,6,6,6,6,6,6,0,6,6,6,6,6,5,6,0,6,0,6,6,6,6,6,6,0,6,0,6,6,6,6,0,6,6,6,3,6,6,6,6,6,0,2,6,3,6,0,6,6,3,6,6,0,6,0,0
3,6,0,6,0,0,6,0,0.54545,3,1.5,0,0,6,0,3,6,3,0,0,0,0,6,0,3,4,6,6,6,0,6,6,6,0,0,3,0,6,0,0,6,3,0,6,6,0,0,0,4.5,3,6,0,6,3,0,0,0,1.5,2,0,6,6,3,6,6,6,0,6,6,6,0,6,0,3,0,5,0,0,6,0,3,6,2,6,0,6,0,0,6,6,0,0,6,0,6,0,6,3,0,0,0,0,3,6,4,0,0,6,0,0,0,0,6,0,0,0,0,6
3,0,0,0,0,6,6,0,3.81818,6,4.5,6,6,6,6,6,6,0,6,6,0,6,6,6,3,6,6,6,6,6,6,6,6,0,0,0,0,6,0,6,0,6,6,6,6,0,6,0,6,6,6,0,6,3,6,3,0,3,2,0,3,6,4.5,6,0,6,6,6,3,6,6,6,0,6,6,6,6,0,6,0,6,6,6,6,0,0,6,6,0,0,6,6,0,0,0,6,6,6,0,6,6,0,6,6,2,6,3,0,4,0,6,6,6,6,0,6,0,0
6,0,0,0,6,0,0,0,4.90909,3,0,0,0,6,6,3,0,6,0,0,0,0,6,0,3,2,6,3,6,0,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,6,0,0,6,6,0,6,6,0,3,6,4.5,4,6,3,6,1.5,6,6,0,6,6,3,0,0,6,0,0,0,3,6,0,0,0,6,6,2,6,0,0,0,0,0,0,0,6,6,0,6,6,6,6,6,0,0,6,6,6,2,0,3,0,0,6,0,3,0,0,0,0,0,0
3,6,6,3,0,6,6,6,3.27273,6,6,6,6,6,6,3,6,6,6,0,6,6,6,0,0,4,6,6,6,6,6,6,0,0,0,6,6,6,0,6,0,3,0,6,6,0,0,0,4.5,6,0,0,0,3,6,3,6,4.5,2,0,6,3,3,0,0,0,6,6,3,0,0,0,0,6,6,6,6,6,6,0,6,6,4,0,0,6,6,0,0,6,6,6,6,0,0,6,0,3,6,6,0,6,3,6,2,6,6,0,2,0,6,6,6,6,0,6,6,6
6,6,0,6,6,6,6,0,4.90909,3,6,6,6,6,6,3,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,6,0,0,0,0,6,6,0,6,6,6,6,6,6,6,6,0,4.5,6,6,6,6,3,0,6,6,4.5,6,0,6,6,4.5,6,0,0,6,6,3,6,0,6,6,3,6,6,6,0,6,0,6,0,6,6,0,6,6,6,0,6,6,6,6,0,6,6,6,3,6,0,0,6,3,6,2,6,3,0,2,6,0,3,6,6,0,0,0,0
